,Name,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,ID,Team,SalClean,FG%_,FT%_,TS%_,3P%_,G_pct,GS_pct,GS/G,Sal_class,Sal_class_predict,Sal_class_predict_proba,Height,Weight,Surplus_value,SalFinal,Max_proba
0,Precious Achiuwa,C,22,73,28,23.6,3.6,8.3,0.439,0.8,2.1,0.359,2.9,6.1,0.468,0.486,1.1,1.8,0.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,0.259,6.9,2.3,-2.6,-0.6,21.7,2.1,0.217,-2.0,8.7,0.4,12.7,1.1,11.3,14.9,0.503,18.5,-0.2,2.5,0.07,/players/a/achiupr01.html,TOR,2.71128,0.468,0.898,0.624,0.411,0.8902439024390244,0.3414634146341463,0.3835616438356164,0,0,"[0.29808141957994094, 0.2604074834840338, 0.1955780169102717, 0.1468264026395242, 0.07346644161873699, 0.01893314449582291, 0.006707091271667654]",6-8,225,0.0,2.71128,0.29808141957994094
1,Steven Adams,C,28,76,75,26.3,2.8,5.1,0.547,0.0,0.0,0.0,2.8,5.0,0.548,0.547,1.4,2.6,0.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,0.003,16.1,2.7,2.0,1.0,22.0,3.0,0.518,1.0,17.9,3.8,17.6,1.6,19.6,19.9,0.56,12.0,2.0,6.8,0.163,/players/a/adamsst01.html,MEM,17.073171,0.537,0.875,0.651,0.375,0.926829268292683,0.9146341463414634,0.986842105263158,15,15,"[0.09977097887264068, 0.15631517341903847, 0.177496093977066, 0.18502685475228303, 0.17993564684185273, 0.15056491620518514, 0.05089033593193278]",6-11,265,0.0,17.073171,0.18502685475228303
2,Bam Adebayo,C,24,56,56,32.6,7.3,13.0,0.557,0.0,0.1,0.0,7.3,12.9,0.562,0.557,4.6,6.1,0.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,0.008,17.5,2.6,3.8,2.1,26.1,3.5,0.466,1.7,8.7,3.6,21.8,2.2,14.4,17.5,0.608,25.0,2.7,7.2,0.188,/players/a/adebaba01.html,MIA,28.10355,0.471,0.844,0.595,0.398,0.6829268292682927,0.6829268292682927,1.0,25,30,"[0.02398222249742559, 0.06369025728471804, 0.10485653988575862, 0.12265917101681166, 0.1826376285202449, 0.2323389052983905, 0.26983527549665115]",6-9,255,1.8964500000000015,28.10355,0.26983527549665115
3,Santi Aldama,PF,21,32,0,11.3,1.7,4.1,0.402,0.2,1.5,0.125,1.5,2.6,0.56,0.424,0.6,1.0,0.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,0.364,7.7,2.5,-5.7,-1.5,16.1,0.4,0.242,-4.2,9.4,-0.1,10.2,0.8,9.9,12.6,0.452,18.4,-0.3,0.3,0.044,/players/a/aldamsa01.html,MEM,1.99452,0.464,0.819,0.623,0.412,0.3902439024390244,0.0,0.0,0,0,"[0.5207100778479277, 0.2652865140413285, 0.1139360317832468, 0.06998953335495559, 0.02688962886415269, 0.0019243089226053014, 0.0012639051857820706]",6-11,224,0.0,1.99452,0.5207100778479277
4,LaMarcus Aldridge,C,36,47,12,22.3,5.4,9.7,0.55,0.3,1.0,0.304,5.1,8.8,0.578,0.566,1.9,2.2,0.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,0.1,6.3,4.0,0.7,-0.6,18.7,1.0,0.223,1.3,7.8,2.1,19.6,0.6,8.0,13.4,0.604,22.4,0.7,3.1,0.141,/players/a/aldrila01.html,BRK,2.641691,0.516,0.832,0.628,0.434,0.573170731707317,0.1463414634146341,0.2553191489361702,0,15,"[0.13724627207170229, 0.20740653221127164, 0.221261778228397, 0.2293189931849563, 0.13491204524250996, 0.0534211414025741, 0.01643323765858835]",6-11,250,12.358309,2.641691,0.2293189931849563
5,Nickeil Alexander-Walker,SG,23,65,21,22.6,3.9,10.5,0.372,1.6,5.2,0.311,2.3,5.3,0.433,0.449,1.2,1.7,0.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,0.497,16.1,1.5,-2.9,-1.1,11.5,1.1,0.16,-1.8,2.7,-1.1,10.5,1.5,11.3,7.1,0.475,24.1,-0.3,0.1,0.003,/players/a/alexani01.html,UTA,3.26148,0.442,0.867,0.574,0.357,0.7926829268292683,0.2560975609756097,0.3230769230769231,0,0,"[0.30636606993447313, 0.23947485081728148, 0.1957777761403987, 0.14873362563009687, 0.08067936400114756, 0.021149807039494144, 0.007818506437106293]",6-6,205,0.0,3.26148,0.30636606993447313
6,Grayson Allen,SG,26,66,61,27.3,3.9,8.6,0.448,2.4,5.9,0.409,1.5,2.7,0.533,0.588,1.0,1.1,0.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,0.684,7.6,1.0,0.5,-0.2,10.9,1.4,0.13,0.6,1.9,2.8,12.7,1.2,6.7,6.5,0.609,15.2,1.1,4.2,0.11,/players/a/allengr01.html,MIL,4.054695,0.493,0.76,0.569,0.336,0.8048780487804879,0.7439024390243902,0.9242424242424242,0,10,"[0.10552064567188497, 0.18346231123986537, 0.21572322321346102, 0.2073423522033532, 0.1546551677434237, 0.1023538858267538, 0.0309424141012589]",6-4,198,5.945305,4.054695,0.21572322321346102
7,Jarrett Allen,C,23,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,0.018,8.2,3.7,3.9,1.2,24.5,3.0,0.428,2.7,12.0,5.4,23.0,1.2,12.7,18.4,0.698,18.1,2.7,8.5,0.225,/players/a/allenja01.html,CLE,20.0,0.528,0.706,0.624,0.362,0.6829268292682927,0.6829268292682927,1.0,20,25,"[0.030505439078175614, 0.07191017580788445, 0.12484904650026973, 0.14782350883809417, 0.2189099193582651, 0.24311163959770885, 0.16289027081960303]",6-11,243,5.0,20.0,0.24311163959770885
8,Jose Alvarado,PG,23,54,1,15.4,2.4,5.4,0.446,0.6,2.0,0.291,1.8,3.4,0.538,0.5,0.7,1.0,0.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,0.374,26.9,0.8,1.9,2.4,10.2,1.1,0.18,-0.5,3.2,1.0,16.4,4.2,11.2,6.6,0.52,18.4,0.8,2.1,0.121,/players/a/alvarjo01.html,NOP,1.5,0.447,0.902,0.622,0.389,0.6585365853658537,0.0121951219512195,0.0185185185185185,0,0,"[0.3924161139619447, 0.28593067167666014, 0.14594304027109742, 0.11327718072270905, 0.04856148337025261, 0.010191375720225259, 0.0036801342771115094]",6-0,179,0.0,1.5,0.3924161139619447
9,Justin Anderson,SF,28,16,6,19.8,2.3,5.9,0.379,0.9,3.7,0.254,1.3,2.3,0.583,0.458,0.9,1.2,0.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,0.621,14.2,1.7,-3.2,-1.3,15.0,0.2,0.2,-1.9,1.4,0.2,10.4,1.2,7.2,8.1,0.493,15.1,-0.1,0.4,0.054,/players/a/anderju01.html,IND,0.445828,0.502,0.707,0.578,0.538,0.1951219512195122,0.073170731707317,0.375,0,0,"[0.48189834585319263, 0.2806828380633176, 0.1287204885415909, 0.07574379134681038, 0.02935280184716351, 0.002269750477222023, 0.001331983870702822]",6-6,230,0.0,0.445828,0.48189834585319263
10,Kyle Anderson,PF,28,69,11,21.5,3.0,6.8,0.446,0.5,1.6,0.33,2.5,5.2,0.481,0.484,1.0,1.5,0.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,0.232,16.2,2.7,1.2,2.1,21.6,2.5,0.224,-0.9,4.8,1.0,14.4,2.5,12.1,13.0,0.506,16.2,1.2,3.5,0.113,/players/a/anderky01.html,MEM,9.93715,0.442,0.768,0.542,0.311,0.8414634146341463,0.1341463414634146,0.1594202898550724,5,5,"[0.23229509806137322, 0.27479965184943494, 0.2110466753213025, 0.17030152523365064, 0.07488429844791218, 0.02882699915728566, 0.007845751929040534]",6-9,230,0.0,9.93715,0.27479965184943494
