,Team,Surplus_value,Team_Name
0,ATL,32.69403,Atlanta Hawks
1,BOS,33.666681000000004,Boston Celtics
2,BRK,-14.098715,Brooklyn Nets
3,CHI,12.192863,Chicago Bulls
4,CHO,67.442964,Charlotte Hornets
5,CLE,47.364404,Cleveland Cavaliers
6,DAL,32.152668,Dallas Mavericks
7,DEN,16.158103,Denver Nuggets
8,DET,22.258564,Detroit Pistons
9,GSW,-18.604262999999996,Golden State Warriors
10,HOU,62.451133,Houston Rockets
11,IND,29.199126999999997,Indiana Pacers
12,LAC,29.222091,Los Angeles Clippers
13,LAL,18.235841999999998,Los Angeles Lakers
14,MEM,57.86088,Memphis Grizzlies
15,MIA,19.091734000000002,Miami Heat
16,MIL,-2.3343439999999998,Milwaukee Bucks
17,MIN,3.349055999999999,Minnesota Timberwolves
18,NOP,13.841291,New Orleans Pelicans
19,NYK,33.47402100000001,New York Knicks
20,OKC,67.795568,Oklahoma City Thunder
21,ORL,10.978927999999998,Orlando Magic
22,PHI,6.991802999999998,Philadephia 76ers
23,PHO,46.851425,Phoenix Suns
24,POR,11.182389,Portland Trailblazers
25,SAC,9.00023,Sacramento Kings
26,SAS,47.074912,San Antonio Spurs
27,TOR,30.432245,Toronto Raptors
28,UTA,9.764232,Utah Jazz
29,WAS,6.727710999999999,Washington Wizards
