,Name,CurrentSalary,CurrentTeam
0,Pascal Siakam,"$31,320,000",TOR
1,Fred VanVleet,"$19,675,926",TOR
2,OG Anunoby,"$16,071,429",TOR
3,Gary Trent Jr.,"$16,000,000",TOR
4,Thaddeus Young,"$14,190,000",TOR
5,Scottie Barnes,"$7,280,520",TOR
6,Chris Boucher,"$7,009,615",TOR
7,Khem Birch,"$6,350,000",TOR
8,Precious Achiuwa,"$2,711,280",TOR
9,Malachi Flynn,"$2,048,040",TOR
10,Yuta Watanabe,"$1,762,769",TOR
11,Isaac Bonga,"$1,729,217",TOR
12,Svi Mykhailiuk,"$1,729,217",TOR
13,Dalano Banton,"$925,258",TOR
14,Armoni Brooks,"$136,926",TOR
18,Drew Eubanks,"$1,762,796",TOR
19,Sam Dekker,"$350,000",TOR
0,Steven Adams,"$17,073,171",MEM
1,Dillon Brooks,"$12,200,000",MEM
2,Kyle Anderson,"$9,937,150",MEM
3,Ja Morant,"$9,603,360",MEM
4,Jaren Jackson Jr.,"$9,180,560",MEM
5,De'Anthony Melton,"$8,437,500",MEM
6,Tyus Jones,"$7,522,200",MEM
7,Jarrett Culver,"$6,395,160",MEM
8,Ziaire Williams,"$4,373,160",MEM
9,Brandon Clarke,"$2,726,880",MEM
10,John Konchar,"$2,197,674",MEM
11,Desmond Bane,"$2,033,160",MEM
12,Killian Tillie,"$2,000,000",MEM
13,Santi Aldama,"$1,994,520",MEM
14,Xavier Tillman Sr.,"$1,517,981",MEM
15,Sam Merrill,"$663,024",MEM
0,Jimmy Butler,"$36,016,200",MIA
1,Bam Adebayo,"$28,103,550",MIA
2,Kyle Lowry,"$26,984,128",MIA
3,Duncan Robinson,"$15,560,000",MIA
4,P.J. Tucker,"$7,000,000",MIA
5,Tyler Herro,"$4,004,280",MIA
6,Udonis Haslem,"$2,641,691",MIA
7,Markieff Morris,"$2,641,691",MIA
8,Dewayne Dedmon,"$2,389,641",MIA
9,Victor Oladipo,"$2,389,641",MIA
10,Gabe Vincent,"$1,669,178",MIA
11,Max Strus,"$1,669,178",MIA
12,Omer Yurtseven,"$1,489,065",MIA
