,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48
0,1,Precious Achiuwa,C,22,TOR,73,28,23.6,3.6,8.3,.439,0.8,2.1,.359,2.9,6.1,.468,.486,1.1,1.8,.595,2.0,4.5,6.5,1.1,0.5,0.6,1.2,2.1,9.1,.259,6.9,2.3,-2.6,-0.6,21.7,2.1,.217,-2.0,8.7,0.4,12.7,1.1,11.3,14.9,.503,18.5,-0.2,2.5,.070
1,2,Steven Adams,C,28,MEM,76,75,26.3,2.8,5.1,.547,0.0,0.0,.000,2.8,5.0,.548,.547,1.4,2.6,.543,4.6,5.4,10.0,3.4,0.9,0.8,1.5,2.0,6.9,.003,16.1,2.7,2.0,1.0,22.0,3.0,.518,1.0,17.9,3.8,17.6,1.6,19.6,19.9,.560,12.0,2.0,6.8,.163
2,3,Bam Adebayo,C,24,MIA,56,56,32.6,7.3,13.0,.557,0.0,0.1,.000,7.3,12.9,.562,.557,4.6,6.1,.753,2.4,7.6,10.1,3.4,1.4,0.8,2.6,3.1,19.1,.008,17.5,2.6,3.8,2.1,26.1,3.5,.466,1.7,8.7,3.6,21.8,2.2,14.4,17.5,.608,25.0,2.7,7.2,.188
3,4,Santi Aldama,PF,21,MEM,32,0,11.3,1.7,4.1,.402,0.2,1.5,.125,1.5,2.6,.560,.424,0.6,1.0,.625,1.0,1.7,2.7,0.7,0.2,0.3,0.5,1.1,4.1,.364,7.7,2.5,-5.7,-1.5,16.1,0.4,.242,-4.2,9.4,-0.1,10.2,0.8,9.9,12.6,.452,18.4,-0.3,0.3,.044
4,5,LaMarcus Aldridge,C,36,BRK,47,12,22.3,5.4,9.7,.550,0.3,1.0,.304,5.1,8.8,.578,.566,1.9,2.2,.873,1.6,3.9,5.5,0.9,0.3,1.0,0.9,1.7,12.9,.100,6.3,4.0,0.7,-0.6,18.7,1.0,.223,1.3,7.8,2.1,19.6,0.6,8.0,13.4,.604,22.4,0.7,3.1,.141
5,6,Nickeil Alexander-Walker,SG,23,TOT,65,21,22.6,3.9,10.5,.372,1.6,5.2,.311,2.3,5.3,.433,.449,1.2,1.7,.743,0.6,2.3,2.9,2.4,0.7,0.4,1.4,1.6,10.6,.497,16.1,1.5,-2.9,-1.1,11.5,1.1,.160,-1.8,2.7,-1.1,10.5,1.5,11.3,7.1,.475,24.1,-0.3,0.1,.003
6,6,Nickeil Alexander-Walker,SG,23,NOP,50,19,26.3,4.7,12.6,.375,1.9,6.1,.311,2.8,6.5,.434,.450,1.4,1.9,.722,0.7,2.6,3.3,2.8,0.8,0.4,1.7,1.8,12.8,.483,16.1,1.4,-3.0,-1.3,11.0,0.9,.153,-1.7,3.0,-1.1,10.5,1.5,11.2,6.9,.474,24.8,-0.3,-0.1,-0.005
7,6,Nickeil Alexander-Walker,SG,23,UTA,15,2,9.9,1.1,3.2,.333,0.7,2.2,.303,0.4,1.0,.400,.438,0.7,0.8,.917,0.1,1.5,1.5,1.1,0.3,0.3,0.5,1.0,3.5,.688,15.5,2.4,-1.7,1.2,15.6,0.2,.250,-2.9,0.8,0.0,10.2,1.7,13.1,8.5,.497,17.9,0.0,0.2,.070
8,7,Grayson Allen,SG,26,MIL,66,61,27.3,3.9,8.6,.448,2.4,5.9,.409,1.5,2.7,.533,.588,1.0,1.1,.865,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1,.684,7.6,1.0,0.5,-0.2,10.9,1.4,.130,0.6,1.9,2.8,12.7,1.2,6.7,6.5,.609,15.2,1.1,4.2,.110
9,8,Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,.677,0.0,0.2,.100,6.6,9.6,.688,.678,2.9,4.2,.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1,.018,8.2,3.7,3.9,1.2,24.5,3.0,.428,2.7,12.0,5.4,23.0,1.2,12.7,18.4,.698,18.1,2.7,8.5,.225
10,9,Jose Alvarado,PG,23,NOP,54,1,15.4,2.4,5.4,.446,0.6,2.0,.291,1.8,3.4,.538,.500,0.7,1.0,.679,0.5,1.4,1.9,2.8,1.3,0.1,0.7,1.4,6.1,.374,26.9,0.8,1.9,2.4,10.2,1.1,.180,-0.5,3.2,1.0,16.4,4.2,11.2,6.6,.520,18.4,0.8,2.1,.121
11,10,Justin Anderson,SF,28,TOT,16,6,19.8,2.3,5.9,.379,0.9,3.7,.254,1.3,2.3,.583,.458,0.9,1.2,.789,0.3,2.6,2.9,2.1,0.5,0.4,0.5,1.4,6.4,.621,14.2,1.7,-3.2,-1.3,15.0,0.2,.200,-1.9,1.4,0.2,10.4,1.2,7.2,8.1,.493,15.1,-0.1,0.4,.054
12,10,Justin Anderson,SF,28,CLE,3,0,15.7,1.3,2.7,.500,0.7,2.0,.333,0.7,0.7,1.000,.625,1.0,1.3,.750,0.0,2.0,2.0,2.0,0.3,0.0,0.7,1.3,4.3,.750,17.3,0.0,-2.6,0.4,13.8,0.0,.500,-3.0,0.0,0.1,10.7,1.1,17.0,7.1,.666,11.1,0.0,0.1,.124
13,10,Justin Anderson,SF,28,IND,13,6,20.7,2.5,6.7,.368,1.0,4.1,.245,1.5,2.6,.559,.443,0.9,1.2,.800,0.3,2.8,3.1,2.1,0.5,0.5,0.5,1.4,6.8,.609,13.6,1.9,-3.3,-1.6,15.2,0.1,.172,-1.7,1.6,0.1,10.3,1.3,6.0,8.3,.475,15.8,-0.1,0.2,.041
14,11,Kyle Anderson,PF,28,MEM,69,11,21.5,3.0,6.8,.446,0.5,1.6,.330,2.5,5.2,.481,.484,1.0,1.5,.638,1.0,4.3,5.3,2.7,1.1,0.7,1.0,1.6,7.6,.232,16.2,2.7,1.2,2.1,21.6,2.5,.224,-0.9,4.8,1.0,14.4,2.5,12.1,13.0,.506,16.2,1.2,3.5,.113
15,12,Giannis Antetokounmpo,PF,27,MIL,67,67,32.9,10.3,18.6,.553,1.1,3.6,.293,9.2,15.0,.616,.582,8.3,11.4,.722,2.0,9.6,11.6,5.8,1.1,1.4,3.3,3.2,29.9,.194,31.7,4.0,11.2,3.5,30.4,3.7,.615,7.6,6.6,9.2,32.1,1.6,12.2,18.7,.633,34.9,7.4,12.9,.281
16,13,Thanasis Antetokounmpo,SF,29,MIL,48,6,9.9,1.5,2.7,.547,0.0,0.3,.143,1.4,2.4,.596,.555,0.6,1.0,.630,0.8,1.3,2.1,0.5,0.3,0.3,0.5,1.4,3.6,.109,6.5,2.4,-3.5,-0.1,13.4,0.5,.359,-3.5,9.2,0.4,12.5,1.6,14.9,11.3,.577,15.7,-0.2,0.9,.095
17,14,Carmelo Anthony,PF,37,LAL,69,3,26.0,4.6,10.5,.441,2.2,5.8,.375,2.5,4.7,.521,.544,1.9,2.3,.830,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3,.549,5.6,2.6,-0.5,-0.8,13.5,1.4,.220,0.4,3.7,2.2,14.8,1.3,6.9,8.6,.579,20.4,0.7,3.6,.097
18,15,Cole Anthony,PG,21,ORL,65,65,31.7,5.5,14.0,.391,2.0,6.0,.338,3.5,8.0,.432,.464,3.3,3.9,.854,0.5,4.9,5.4,5.7,0.7,0.3,2.6,2.6,16.3,.429,28.9,0.8,-1.2,-0.6,16.2,1.7,.277,-0.6,1.6,-0.1,13.5,1.1,14.2,8.9,.519,25.1,0.4,1.6,.038
19,16,OG Anunoby,SF,24,TOR,48,48,36.0,6.4,14.5,.443,2.4,6.6,.363,4.0,7.9,.511,.526,1.9,2.5,.754,1.5,4.0,5.5,2.6,1.5,0.5,1.7,2.7,17.1,.455,11.0,1.4,0.5,0.1,12.6,1.9,.169,0.4,4.4,1.8,14.8,2.1,9.7,8.3,.549,20.5,1.1,3.7,.104
20,17,Ryan Arcidiacono,PG,27,NYK,10,0,7.6,0.6,1.2,.500,0.4,0.9,.444,0.2,0.3,.667,.667,0.0,0.0,,0.0,0.8,0.8,0.4,0.1,0.0,0.3,0.5,1.6,.750,7.5,0.0,-4.6,0.0,11.5,0.1,.000,-4.6,0.0,0.0,6.1,0.7,20.0,5.7,.667,8.6,-0.1,0.1,.052
21,18,Trevor Ariza,SF,36,LAL,24,11,19.3,1.4,4.1,.333,0.8,3.1,.270,0.5,1.0,.520,.434,0.4,0.8,.556,0.4,3.0,3.4,1.1,0.5,0.3,0.5,0.8,4.0,.747,7.5,1.2,-3.4,-0.2,16.7,0.4,.182,-3.3,2.3,-0.2,7.0,1.3,9.3,9.5,.449,11.0,-0.2,0.2,.020
22,19,D.J. Augustin,PG,34,TOT,55,2,16.1,1.7,4.0,.423,1.2,3.0,.415,0.5,1.1,.448,.577,0.7,0.8,.884,0.2,1.0,1.2,1.9,0.3,0.0,1.0,0.7,5.3,.739,16.8,0.1,-3.6,-2.4,7.0,0.1,.194,-1.2,1.4,0.7,9.7,0.9,18.9,4.2,.610,14.3,-0.4,0.8,.043
